Product_id,Price,Sale,weight,resoloution,ppi,cpu core,cpu freq,internal mem,ram,RearCam,Front_Cam,battery,thickness
739,1989,57,131,5,294,4,1.3,16,2,13,5,2500,8.7
804,1741,57,145,4.5,245,4,1.2,8,1,5,0,2390,12.3
563,2824,58,175,5.5,401,6,1.53,32,3,21,8,3500,9.3
577,2746,66,158,5.5,401,4,1.83,64,4,13,5,4000,8.5
43,1347,67,260,7,170,2,1.3,4,0.512,2,0,2820,9.1
218,2323,71,97,4.8,306,8,1.7,16,1,8,5,2100,5.1
738,2685,72,168,5.7,386,8,1.8,32,3,21,5,3050,7.5
563,2824,73,175,5.5,401,6,1.53,32,3,21,8,3500,9.3
577,2746,75,158,5.5,401,4,1.83,64,4,13,5,4000,8.5
56,2044,82,310,8,283,8,2,8,2,5,2,4060,7.3
198,1734,87,128,4.5,245,4,1.2,4,1,8,0,1840,8.5
218,2323,87,97,4.8,306,8,1.7,16,1,8,5,2100,5.1
198,1734,89,128,4.5,245,4,1.2,4,1,8,0,1840,8.5
14,2276,91,116,5,294,8,1.5,16,2,13,5,2300,7.8
56,2044,93,310,8,283,8,2,8,2,5,2,4060,7.3
857,3116,94,153,5.5,401,8,1.5,64,4,13,16,3200,7.3
937,2571,96,97,4.8,306,4,1.2,16,2,8,5,2000,5.1
14,2276,98,116,5,294,8,1.5,16,2,13,5,2300,7.8
937,2571,100,97,4.8,306,4,1.2,16,2,8,5,2000,5.1
66,1396,101,279,7,170,4,1.2,4,1,3,0,3240,9
1221,2714,101,156,5.5,401,8,1.35,16,2,13,5,2300,5.1
1011,3005,103,171,5.7,515,8,1.8,32,4,16,5,3000,7.6
1221,2714,106,156,5.5,401,8,1.35,16,2,13,5,2300,5.1
1026,791,106,66,1.5,121,1,0.208,0,0.004,0,0,800,13.2
1011,3005,109,171,5.7,515,8,1.8,32,4,16,5,3000,7.6
1216,3837,111,167.8,5.43,541,4,1.875,128,6,16,8,3600,7.6
237,1646,113,404,8,160,4,1.2,8,1,5,5,4500,9
66,1396,114,279,7,170,4,1.2,4,1,3,0,3240,9
1026,791,114,66,1.5,121,1,0.208,0,0.004,0,0,800,13.2
1216,3837,119,167.8,5.43,541,4,1.875,128,6,16,8,3600,7.6
763,1302,121,127.9,4,235,2,1.2,8,1,2,0,1500,10.6
763,1302,140,127.9,4,235,2,1.2,8,1,2,0,1500,10.6
237,1646,141,404,8,160,4,1.2,8,1,5,5,4500,9
131,1831,143,154,5,294,4,1.2,8,1,13,5,2100,8.4
131,1831,156,154,5,294,4,1.2,8,1,13,5,2100,8.4
1062,1810,164,393,8,189,4,1.2,16,1.5,3.15,1.2,4450,9.7
841,1511,164,134,4.5,221,4,1.2,8,0.512,5,0,1830,9.2
1062,1810,166,393,8,189,4,1.2,16,1.5,3.15,1.2,4450,9.7
1143,2562,178,187,6,367,8,1.7,16,2,13,13,2930,8.2
1143,2562,179,187,6,367,8,1.7,16,2,13,13,2930,8.2
183,1522,187,160,5,220,2,1.2,0,1,8,0,2500,10.8
841,1511,198,134,4.5,221,4,1.2,8,0.512,5,0,1830,9.2
1080,2343,198,158,5.1,432,4,2.5,16,2,16,2,2800,8.9
827,833,201,78.4,2.4,166,0,0,0,0.008,0,0,1100,12.9
183,1522,204,160,5,220,2,1.2,0,1,8,0,2500,10.8
1080,2343,206,158,5.1,432,4,2.5,16,2,16,2,2800,8.9
133,2744,208,142,5,440,8,1.25,16,2,16,8,2700,8
827,833,213,78.4,2.4,166,0,0,0,0.008,0,0,1100,12.9
133,2744,214,142,5,440,8,1.25,16,2,16,8,2700,8
832,1676,256,150,5,294,4,1.2,16,1,10,0.9,2200,8.5
832,1676,268,150,5,294,4,1.2,16,1,10,0.9,2200,8.5
637,2858,285,174,5.7,513,4,1.875,32,4,16,5,3200,7.6
64,754,299,77.9,2.4,167,0,0,0.004,0.004,0,0,850,12.4
30,2975,302,149,5.5,534,8,1.6,32,3,16,8,3000,7
30,2975,307,149,5.5,534,8,1.6,32,3,16,8,3000,7
64,754,308,77.9,2.4,167,0,0,0.004,0.004,0,0,850,12.4
409,2880,309,145,5.1,432,8,2.1,32,4,20,8,3200,7
637,2858,309,174,5.7,513,4,1.875,32,4,16,5,3200,7.6
143,3287,344,170,5.5,401,8,2,32,4,12,13,5000,8
143,3287,367,170,5.5,401,8,2,32,4,12,13,5000,8
798,2054,373,169,5.5,403,8,1.35,16,2,21,5,3630,10.9
460,1734,378,118,4,245,4,1.2,4,0.512,5,2,1730,10.9
460,1734,382,118,4,245,4,1.2,4,0.512,5,2,1730,10.9
798,2054,385,169,5.5,403,8,1.35,16,2,21,5,3630,10.9
1327,2001,393,194.8,5.7,258,4,1.2,16,2,8,1,3400,10.2
1327,2001,399,194.8,5.7,258,4,1.2,16,2,8,1,3400,10.2
409,2880,418,145,5.1,432,8,2.1,32,4,20,8,3200,7
1198,705,423,110,2.2,128,0,0,0.128,0.032,2,0,900,15.6
1198,705,427,110,2.2,128,0,0,0.128,0.032,2,0,900,15.6
1112,2491,455,753,12.2,247,8,1.6,32,3,8,2,9500,8
1112,2491,456,753,12.2,247,8,1.6,32,3,8,2,9500,8
696,2466,499,154,5.5,534,4,2.7,32,3,13,2.1,3000,9.1
1089,1357,523,165,4.66,200,4,1.2,0,0,5,0,2600,11.6
1089,1357,564,165,4.66,200,4,1.2,0,0,5,0,2600,11.6
696,2466,567,154,5.5,534,4,2.7,32,3,13,2.1,3000,9.1
497,2266,599,112,5,294,8,1.4,8,1,8,8,1900,6.3
497,2266,615,112,5,294,8,1.4,8,1,8,8,1900,6.3
301,2445,616,183,5,294,4,1.3,32,3,8,5,4000,8.5
301,2445,678,183,5,294,4,1.3,32,3,8,5,4000,8.5
857,3116,996,153,5.5,401,8,1.5,64,4,13,16,3200,7.3
377,2409,1009,160,5,441,4,2.3,32,2,4,5,2600,9.4
377,2409,1043,160,5,441,4,2.3,32,2,4,5,2600,9.4
701,628,1224,102.9,2.2,128,0,0,0.256,0.128,1.3,0,950,18.5
701,628,1274,102.9,2.2,128,0,0,0.256,0.128,1.3,0,950,18.5
1161,2508,1530,152,5.2,424,4,2.5,16,3,20.7,2.2,3100,7.3
1161,2508,1584,152,5.2,424,4,2.5,16,3,20.7,2.2,3100,7.3
32,1921,1781,179,6,184,4,1.3,8,1,13,8,2580,8
32,1921,1862,179,6,184,4,1.3,8,1,13,8,2580,8
1137,3102,2071,180,5.5,806,8,1.75,32,3,23,5.1,3430,7.8
1137,3102,2088,180,5.5,806,8,1.75,32,3,23,5.1,3430,7.8
851,3055,2106,158,5.5,401,4,1.875,64,6,16,8,3000,7.4
826,614,2159,69.8,1.4,129,0,0,0,0.004,0,0,800,14.1
826,614,2171,69.8,1.4,129,0,0,0,0.004,0,0,800,14.1
851,3055,2173,158,5.5,401,4,1.875,64,6,16,8,3000,7.4
290,4361,3248,238,5.7,515,8,1.95,128,6,12,8,7000,7.4
290,4361,3291,238,5.7,515,8,1.95,128,6,12,8,7000,7.4
1131,2536,3619,202,6,367,8,1.5,16,3,21.5,16,2700,8.4
1206,3551,4408,178,5.46,538,4,1.875,128,6,12,16,4080,8.4
1206,3551,4638,178,5.46,538,4,1.875,128,6,12,16,4080,8.4
1296,3211,8016,170,5.5,534,4,1.975,128,6,20,8,3400,7.9
856,3260,8809,150,5.5,401,8,2.2,64,4,20,20,3000,6.8
1296,3211,8946,170,5.5,534,4,1.975,128,6,20,8,3400,7.9
1131,2536,9807,202,6,367,8,1.5,16,3,21.5,16,2700,8.4
